work_year,job_category,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
2023,Data Engineering,226700,Senior,Full-time,In-person,United States,M
2023,Data Engineering,133300,Senior,Full-time,In-person,United States,M
2023,Data Engineering,184000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,123000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,130000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,117000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,160000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,140000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,166000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,73000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,185900,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,129300,Senior,Full-time,Remote,United States,M
2023,Data Engineering,130000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,104000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,143000,Senior,Full-time,Remote,United States,M
2023,Data Engineering,116000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,165000,Mid-level,Full-time,Remote,United States,M
2023,Data Science and Research,118800,Mid-level,Full-time,Remote,United States,M
2023,Data Science and Research,220000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,180000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,184000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,123000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,215000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,200000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,253000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,131000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,220000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,176000,Senior,Full-time,In-person,United States,M
2023,Data Quality and Operations,49216,Entry-level,Full-time,Remote,United Kingdom,M
2023,Data Quality and Operations,36912,Entry-level,Full-time,Remote,United Kingdom,M
2023,Data Science and Research,210000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,147000,Senior,Full-time,In-person,United States,M
2023,Leadership and Management,186000,Mid-level,Full-time,In-person,United States,M
2023,Leadership and Management,161000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,205000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,152000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,220000,Mid-level,Full-time,Remote,Canada,M
2023,Data Engineering,190000,Mid-level,Full-time,Remote,Canada,M
2023,Machine Learning and AI,205000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,152000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,137000,Senior,Full-time,Remote,United States,M
2023,Data Analysis,110000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,172000,Senior,Full-time,Remote,United States,M
2023,Data Science and Research,146000,Senior,Full-time,Remote,United States,M
2023,Data Engineering,148000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,99000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,150000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,130000,Senior,Full-time,In-person,United States,M
2023,Data Analysis,105000,Entry-level,Full-time,In-person,United States,M
2023,Data Engineering,99000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,52500,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,180514,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,108308,Senior,Full-time,Remote,United States,M
2023,Machine Learning and AI,210000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,147000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,290300,Senior,Full-time,In-person,United States,M
2023,Data Engineering,196685,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,220000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,176000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,175000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,130000,Mid-level,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,185000,Senior,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,150000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,145000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,115000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,133000,Entry-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,58300,Entry-level,Full-time,In-person,United States,M
2023,Leadership and Management,115000,Senior,Full-time,In-person,United States,M
2023,Leadership and Management,95000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,110244,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Engineering,39372,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Science and Research,43187,Entry-level,Full-time,In-person,Spain,M
2023,Data Science and Research,31310,Entry-level,Full-time,In-person,Spain,M
2023,Data Analysis,92280,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,67672,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,92280,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Analysis,67672,Entry-level,Full-time,In-person,United Kingdom,M
2023,Data Science and Research,75577,Senior,Full-time,Hybrid,Ireland,L
2023,Machine Learning and AI,303387,Senior,Full-time,Remote,Canada,M
2023,Machine Learning and AI,100017,Senior,Full-time,Remote,Canada,M
2023,Data Engineering,230300,Senior,Full-time,In-person,United States,M
2023,Data Engineering,140000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,124935,Senior,Full-time,In-person,South Africa,M
2023,Data Engineering,76050,Senior,Full-time,In-person,South Africa,M
2023,Data Science and Research,224800,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,131100,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,258000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,171000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,196000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,121000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,195800,Senior,Full-time,In-person,United States,M
2023,Data Engineering,171500,Senior,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,166000,Mid-level,Full-time,In-person,United States,M
2023,Data Architecture and Modeling,73100,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,220000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,160000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,85000,Entry-level,Full-time,In-person,United States,M
2023,Data Science and Research,65000,Entry-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,220000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,100000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,185000,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,152000,Senior,Full-time,In-person,United States,M
2023,Machine Learning and AI,220000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,100000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,48585,Senior,Full-time,In-person,Spain,M
2023,Data Science and Research,38868,Senior,Full-time,In-person,Spain,M
2023,Machine Learning and AI,220000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,100000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,220000,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,100000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,220000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,100000,Mid-level,Full-time,In-person,United States,M
2023,Data Analysis,110000,Senior,Full-time,Remote,Poland,M
2023,Data Analysis,80000,Senior,Full-time,Remote,Poland,M
2023,Data Analysis,36912,Senior,Full-time,Remote,United Kingdom,S
2023,Data Science and Research,150200,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,71000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,167200,Senior,Full-time,In-person,United States,M
2023,Data Engineering,121000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,133000,Senior,Full-time,In-person,United States,M
2023,Data Engineering,58400,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,135000,Mid-level,Full-time,In-person,United States,M
2023,Data Science and Research,110000,Mid-level,Full-time,In-person,United States,M
2023,Leadership and Management,104584,Mid-level,Full-time,In-person,United Kingdom,M
2023,Leadership and Management,73824,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Science and Research,187415,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,114080,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,187415,Senior,Full-time,In-person,United States,M
2023,Data Science and Research,114080,Senior,Full-time,In-person,United States,M
2023,Data Engineering,166000,Mid-level,Full-time,In-person,United States,M
2023,Data Engineering,73100,Mid-level,Full-time,In-person,United States,M
2023,Machine Learning and AI,306400,Senior,Full-time,In-person,Canada,M
